Name,Latitude,Longitude
Perumbavoor signal MC road,10.111429,76.479071
AM road Perumbavoor – 2,10.114528,76.470115
Iringol,10.115581,76.50088
AM road Perumbavoor – 1,10.116158,76.484619
Muvattupuzha KSRTC junction,10.116601,76.445595
Kaduval jn,10.122996,76.473386
Cherayi padam,10.141113,76.203198
Perumpadanna North Paravoor,10.141113,76.203198
Mannam,10.146208,76.25462
Thamara valavu North Paravoor,10.149824,76.242192
Manjali bridge,10.1534,76.273075
Athani,10.155668,76.352835
"Nayathodu, Mattor  airport  road",10.163584,76.403794
Mattoor,10.170065,76.43075
Kalady Malayattoor road,10.170216,76.44492
Malliankara,10.17426,76.181373
TELK – 2,10.178056,76.378139
TELK - 1,10.178057,76.37815
Moothakunnam,10.182805,76.204886
Vengoor,10.183973,76.405955
Angamaly nh jn,10.192972,76.386875
Angadikadvu,10.196727,76.382656
Kidangoor,10.198417,76.396037
Karayamparambu – 1,10.205328,76.382574
Karayamparambu – 2,10.205568,76.382072
Valiyapanikan Thuruth,10.196812,76.200652
Methala (Actual Location Arakulam),10.212504,76.197451
Ubazar-Eriyad,10.228195,76.174506
North nada-Kodungalloor,10.228454,76.198316
Maala,10.240563,76.271499
Karupadanna(Konathkunn),10.275524,76.21022
Mathilmoola,10.28144,76.17076
Mathilakam,10.293174,76.160817
Thriprayar Temple Gate,10.414214,76.113296
Edathirinji-Irinjalakuda,10.34084,76.203203
RS road-Irinjalakuda(Don bosco view road),10.343678,76.22512
Irinjalakuda,10.347069,76.212382
SN Nagar-Irinjalakuda,10.357114,76.218667
Valappad,10.396695,76.11573
Thalikulam,10.439972,76.095139
Vadanappalli-Puthukulangara,10.46192,76.083932
Arimbur,10.497685,76.151752
Kuriyachira,10.498372,76.22837
Chettupuzha Bridge,10.498849,76.164243
Ancherichira,10.504741,76.246813
Nadathara 2,10.513337,76.258434
Nadathara NH,10.513865,76.258352
Nellikkunn,10.513911,76.243587
Civil line road 2,10.521848,76.19932
Chettuva M E S center junction,10.524329,76.04994
"Round West, Thrissur",10.524823,76.212008
Kalathode,10.526545,76.25357
Poonkunnam,10.533097,76.20195
Patturaikkal,10.536623,76.211875
Puzhakkal,10.543895,76.181951
"Peringavu, Viyyur",10.54828,76.212006
Vimala college,10.552178,76.226716
"Manathala, Chavakkad",10.588148,76.015799
"Thykkad, Guruvayur",10.598641,76.053001
Mulamkunnathukaavu(Killannur),10.59963,76.210612
Athani bypass(Thrissur-Ottapalam road),10.620117,76.217027
Choondal,10.630492,76.088322
Kunnamkulam,10.64637,76.065842
Chowannur,10.654699,76.080194
Vellarakkad,10.677382,76.120344
Porkulam,10.680856,76.070511
Pazhayannur(Vazhakkod-Alathur road),10.685709,76.41827
Aakkikavu - Perumbilavu,10.693286,76.091638
Chelakkara(Vazhakod-Alathur road),10.695636,76.331407
"Mulloorkara, Aattoor",10.708441,76.280292
Kadavaloor,10.718225,76.072579
Thiruvilwamala(Pazhayannoor-Lakkidi road),10.73031,76.42706
Cheruthuruthy,10.749079,76.274745
"Thalasseri, Aranattukara",10.750792,76.211587
Vadakkancheri,10.5899,76.480494
Ayinampadam,10.593957,76.591519
Valliyode,10.597425,76.499202
Mangalam Bridge,10.599983,76.489156
Vattekkad,10.610834,76.675236
Nedumani,10.611902,76.706053
Ayakkad,10.613576,76.473841
Keezhachira,10.632361,76.69398
"Pazhayannur  Road,  Alathur",10.648486,76.536347
Thathamangalam – Pallimukk,10.682646,76.700196
BEML(Menom para Rd),10.794028,76.781087
Paathikkal,10.732129,76.641843
Panayoor,10.71367,76.734008
Nalleppilly,10.727345,76.780697
Kinassery,10.73392,76.654452
Kadumthuruthy,10.739076,76.652642
Kozhinjampara,10.743509,76.830715
Vavanoor,10.75959,76.130539
Kottayi,10.760722,76.544099
Manapullikkavu,10.760977,76.665028
"Koottupatha, Marutha road",10.767577,76.694484
"Koduvayoor Rd, Kuzhalmantham",10.716079,76.603115
Chakkanthara,10.76968,76.639731
Ottappalam,10.772931,76.374819
"Thenariparamb, Koduvayur-Thrippallur Rd",10.646504,76.568361
Mepparambu,10.775628,76.628549
Pathirippala(PVDS),10.779511,76.474388
Pathirippala,10.780306,76.47642
Nellukuthamkulam,10.67708,76.466931
Chuvanna gate,10.78599,76.261032
"Guruvayur road, Pattambi",10.798468,76.180042
Mitranandapuram-Lakkidi,10.756351,76.436415
Murikkumpatta,10.801699,76.406684
Parali check Post,10.801812,76.552827
Mele Pattambi,10.809012,76.187302
Pirayiri,10.769897,76.617767
Vallapuzha,10.839657,76.251157
Kongad,10.860293,76.507927
Cherpalassery,10.881635,76.318491
Thiruvazhiyode,10.894719,76.388198
Koppam Jn- Palakkad 100ft Rd,10.781601,76.659033
Kanjirani(Kongad-Sreekrishnapuram Rd),10.899751,76.530788
Kallanchola(Ponnamkode-Karakurishi Rd),10.944476,76.514589
Thenkara(Mannarkkad-Aanakatti Rd),10.99853,76.470079
Nellipuzha(Mannarkad-Anakatti Rd),10.99674,76.46945
Alanalloor,11.007068,76.350809
Kottappalla,11.060539,76.348166
Kootumuchi,11.088412,75.868781
Naduvattom,10.769545,76.015071
Kariparamba,11.041908,75.898306
"Kavil padi ,Edappal",10.80531,76.00798
Parambilangadi,10.987125,75.994884
Perunthallur,10.842426,75.944992
Kadungathukund,10.939883,75.982135
Kuttikalathani,10.925323,75.997456
Kottapuram,10.881318,76.085749
Pulamanthole,10.899838,76.190306
"Thazhe palam, Tirur",10.916645,75.91821
"Onappuda, Kulathoor",10.941303,76.14957
Moonnakkal,10.897823,76.077103
"Amminikkad, School padi",10.967327,76.273988
Manathumangalam,10.995808,76.222475
"Nadakkavu, Tanur",10.97152,75.883061
Perinthalmanna,10.973937,76.23663
"Jubilee Jn, Angadippuram",10.975859,76.212108
padapparambu,10.988062,76.106763
Thadathil valavu,10.990823,76.17673
Edarikode,10.992081,75.979843
Kodakkal,10.851352,76.027689
Chattiparambu,10.999059,76.088912
Puthur bridge,11.005977,76.012534
Perunthallur-2,10.837815,75.946806
"Mankada, Verumpulakkal",11.027564,76.169781
Koottilangadi,11.033898,76.099808
Nooradi bridge,11.038975,76.06927
Parappanangadi,11.042392,75.861447
Kuttalur,11.052224,75.992244
"KK Jn, Biyyam",10.786412,75.951539
"Konompara, Melmuri",11.064044,76.07821
Marancheri,10.758934,75.966826
Kolathuparamba(Kottakkal-Malappuram road),11.015905,76.014906
"Kodakkallu, Kunnumpuram",11.079178,75.949772
Pandikkad(Payyapramba),11.103687,76.230095
Vazhaparapadi,11.108314,76.121638
"Thurakkal, Manjeri",11.119711,76.112968
Kadappadi valluvampuram,11.127366,76.047567
Changaramkulam,10.736071,76.028617
"Nelli parambu, Manjeri",11.130627,76.114212
Kodangad (Kozhikode-Malappuram road),11.140534,75.976373
"Alungal, pulikkal",11.168559,75.927707
"Muchikachola, Naduvath",11.209031,76.226304
"Cherumon,Edavanna",11.225082,76.146075
Arekode,11.239719,76.046638
Edavannapara,11.245484,75.973788
Thazhe chandhakunnu(Janathapadi padikkunn),11.28416,76.237332
Palunda,11.346055,76.285947
Nallalam,11.168484,75.830626
Beypore,11.170562,75.80605
Nallur,11.171417,75.83928
Mathottam,11.210226,75.797809
Kallayi,11.23285,75.789009
Vaidyarangadi(Palakkad road),11.178204,75.879253
Station link road,11.246707,75.782407
Calicut beach,11.252441,75.771055
Mananchira(PVDS),11.25318,75.779445
Pavamani road,11.255147,75.784902
Mananchira,11.256017,75.77898
Narikkuni,11.367075,75.862449
Anakuzhikara(Kuttikattur),11.266683,75.884263
Kavil(Omasseri-Koduvalli Rd),11.36848,75.929739
Ramanattukara West(Ferok road),11.179588,75.853828
Chevarambalam,11.276929,75.809082
Vellimadukunnu,11.292981,75.822599
Kunnamangalam,11.304161,75.872061
Pavangad,11.308084,75.758569
Mukkam(Kodiyathur),11.317581,75.996353
Kattangal,11.318927,75.940886
Poonoor (Actual Location name - Eranhikkal),11.334345,75.763649
"Madrasa Bazar, Koduvalli",11.344982,75.900277
Puladikkunn Jn(Eranhikkal-Puladikkunn road),11.333988,75.76279
Pantheernkaav(Mankav road),11.230238,75.84634
Puthoormadam(Perumanna pantheernakav road),11.236431,75.867988
Vattakkundungal,11.401998,75.927997
Karikkamkulam(Kakkdoi-Eranhipalam road),11.291377,75.789094
Nanmanda,11.419696,75.831149
Erakkulam(Vengeri-Balusseri road),11.321614,75.804377
Thazhe Omasseri,11.435962,75.902343
Balusseri,11.447831,75.825911
Vattoli bazar,11.447841,75.860113
Ulliyeri,11.449016,75.774445
Purakkatteri(Atholi-NH road),11.342558,75.760904
Engapuzha,11.468716,75.969365
Korappuzha(Kozhikode city-Vengalam Road),11.359801,75.742052
Naduvanoor,11.481387,75.77484
Payyoli Beach road,11.512781,75.612925
Kizhur,11.521792,75.633784
Meppayyur,11.529299,75.707981
Thiruvangoor(Atholi-Thiruvangoor Jn road),11.383603,75.7383
Kakkad,11.552718,75.763142
Pannimukku,11.564451,75.723237
Perambra,11.565378,75.755716
Sand Banks Road-Vadakara,11.590646,75.581227
Thiruvallur,11.590621,75.669959
2/6 Koothali,11.592258,75.76677
Vadakara Old bus stand,11.5965,75.589191
Peruvattam Thaazha(Vadakara town road),11.608133,75.580708
Villiappally,11.62397,75.626928
"Kuyimbil, Paleri",11.624616,75.756954
Cheriyakumbalam,11.645244,75.754873
Kuttiadi,11.651396,75.750197
Orkkaterry,11.654627,75.604525
Edacheri,11.663788,75.622582
"Paikkalangadi, Thottilpalam",11.671655,75.770003
Kappad(Thiruvangoor-Kappad beach road),11.380664,75.725784
Kakkattil,11.678591,75.70066
Meppayil(Meppayil-Vadakara town road),11.589991,75.604843
Nadapuram,11.686288,75.65571
Kallachi,11.688325,75.670523
"Chettuvetti, Nadapuram",11.689381,75.650983
Lakkidi,11.517829,76.021165
"Chithragiri, Vaduvanchal",11.554236,76.223831
Vaduvanchal,11.559874,76.224266
Meppadi,11.562278,76.125484
Kalpetta,11.607518,76.083423
Ambalavayal,11.623282,76.210988
Kainatti,11.634705,76.088538
Muttil,11.641189,76.107401
Sulthan Bathery,11.658445,76.247523
Meenangadi,11.660197,76.163571
Kaippanchery,11.663671,76.268158
"Kottakunnu, Sulthan Bathery",11.668365,76.269381
Kambalakkad,11.669998,76.079357
KSRTC Dipo,11.672694,76.258953
Padinjarathara 2,11.673646,75.971324
"Kambalakkad, Pallimukku",11.683783,76.076995
Padinjarathara,11.684064,75.974517
Kenichira,11.723769,76.150871
"Karimbummal, Panamaram",11.731643,76.073344
"Pazhanchana, Vellamunda",11.731847,75.951586
Tharuvana,11.738028,75.978072
Nadavayal,11.739191,76.120942
Panamaram,11.739283,76.072747
Panamaram bridge,11.741347,76.072054
"Payode, Manthavady",11.790993,76.00201
"Thalassery road, Manthavady",11.813142,75.994653
"Vayalkarara, Kattikulam",11.842197,76.057265
"Parimadam, new Mahe",11.709093,75.528502
New bus stand Thalassery - 1,11.749234,75.494732
New bus stand Thalassery - 2,11.749991,75.494541
Koduvalli gate NH( Kannur Kozhikode road),11.766475,75.478001
Koduvalli gate NH(Kozhikode Kannur road),11.767848,75.477984
Koothuparmba (Iritty Thalassery road),11.830353,75.566231
Thottada,11.85321,75.41445
Thayil,11.857665,75.390585
Mele chovva(Mattannur Kannur road),11.871585,75.396342
Mele chovva,11.871613,75.397026
Muneeswaram Kovil Road,11.873795,75.364865
chalad(kannur valapattanam road),11.880486,75.354924
Ancharakandi (airport Kannur town road),11.880558,75.50655
Thalap,11.885577,75.372403
Chakkarakkal (Kannur Mattannur road),11.889006,75.474955
Uravachal (Thalasseri Mattannur road),11.896022,75.584862
Chathurakinar (Mattannur Kannur town road),11.900203,75.417726
Puthiyatheru (Kannur Kasargod road),11.915927,75.36036
Mattannoor hospital jn(Thalasseri Iritty road),11.928776,75.572234
Chalode (Mattannur Kannur road),11.929508,75.504152
Mattannur (Mattannur airport road),11.931235,75.570094
"Mattool south,(pazhayangadi matool road)",11.954778,75.297654
Mangattuparamb,11.984387,75.365851
Keeriyad,11.926778,75.358927
Punnad(Iritty Kannur road),11.964026,75.655586
Kambil,11.966725,75.396698
Payancherimukku (Paiancheri junction Peravoor road),11.982867,75.676589
Payincheri ( Peravoor Payincheri junction),11.983085,75.676375
Iritty (Thalassery Iritty bridge),11.987797,75.676975
Iritty (Iritty bridge Thalassery road),11.987991,75.67669
Irikkur (Irrikkur Thaliparamb road),11.991266,75.548675
Mayyil,11.994117,75.449313
Puthiyangadi (Chootad beach Mattool road),12.020188,75.245251
"Pazhangadi - 2,(Payyannur Kannur road)",12.024498,75.266781
"Pazhayangadi,(Kannur Payyannur road )",12.024682,75.266694
Madayipara,12.030602,75.259755
Vallithode (Mysore Iritty road),12.034871,75.713596
Ulikkal (Ulikkal jn Iritty road),12.037799,75.665455
Ulikkal (Payyavoor Ulikkal jn),12.04054,75.660808
Manna (Thaliparamba Iritty road),12.040595,75.362169
"Chiravakku, Thaliparambu (Payyannur Kannur road)",12.04193,75.355717
Sreekandapuram (Thaliparamb Sreekandapuram road),12.044914,75.50673
Payyavoor (Sreekandapuram Payyavoor road),12.060018,75.578067
Payyavoor Town,12.06026,75.581613
"Keloth, Payyannur",12.100346,75.195932
Sumangali cinemas Payyannur,12.111484,75.210374
Vankulath Vayal,11.920861,75.334701
Kannur City Hospital,11.862681,75.36932
Alakode,12.18592,75.466135
Cherupuzha,12.2717,75.360799
Thrikkaripur,12.143232,75.177462
Thankayam mukk,12.143948,75.182362
Padanna,12.177715,75.146966
Kalikadavu,12.190224,75.169052
Cheruvathur,12.216424,75.161629
Cheemeni,12.235686,75.225463
Neeleshwaram,12.25556,75.130433
Panathur,12.457685,75.353556
Choyyomkode,12.287716,75.192083
Puthiyakotta,12.311791,75.093942
Kanjangad 1,12.321242,75.086752
Kanjangad 2,12.324315,75.085506
Athinhal,12.337662,75.078493
Kalanad Jn-1,12.451513,75.021879
Madiyan,12.348491,75.073583
Chithari,12.355391,75.06968
Pallikere,12.387097,75.044575
Bakel bridge,12.401177,75.03007
Odayamchal,12.40159,75.203891
Kalanad Jn-2,12.449719,75.022649
Palakkunnu,12.42277,75.022578
Kundamkuzhi,12.457079,75.140492
Meleparmba,12.469445,75.008568
Kuttikol,12.477041,75.211227
"Madiyan Jn, Madiyan-Kulom road",12.350334,75.074037
"Old bus stand Jn, MG Road",12.500905,74.989737
Press club Jn,12.504694,74.993765
Kottacheri ROB-Beach road,12.322836,75.081675
Bovikanam,12.507377,75.095186
Cherkkala Jn,12.508886,75.055083
Cherkkala,12.508924,75.055216
Hosdurg(Puthyakotta),12.31446,75.091357
"TB road, Kanhangad",12.31429,75.091028
Ballath(Chammattam vayal Jn),12.320304,75.109091
Kottapuram(Nileswaram Rd),12.249084,75.126109
Mulleria,12.548274,75.165202
Nadakkav-Udinar Rd,12.160854,75.171329
Seethangoli,12.587238,75.001678
Badiadka 2,12.588955,75.07359
Badiadka 1,12.591526,75.072752
Kumbla 2,12.592714,74.946532
Kumbla 1,12.592853,74.945797
Bandiyod,12.640146,74.929356
"Uppala-Bekur Road, Kaikumba",12.664898,74.921597
Perla,12.637022,75.102964
Hosangadi,12.705892,74.905156
Bandadka,12.498763,75.267684
